source_id,acteur_id,type_source,url,mode_collecte,frequence,langue,fiabilite,robots_ok,actif,notes,derniere_collecte
melenchon-jean-luc-programme,melenchon-jean-luc,pdf,,manuel,mensuel,fr,primaire,na,false,URL du programme à renseigner dès publication,
melenchon-jean-luc-youtube,melenchon-jean-luc,youtube,,manuel,hebdo,fr,primaire,na,false,Chaîne ou playlists d'interviews à renseigner ; transcription,
glucksmann-raphael-site,glucksmann-raphael,page_web,,auto,quotidien,fr,primaire,na,false,Site de campagne à renseigner ; surveillance changement de page,
glucksmann-raphael-programme,glucksmann-raphael,pdf,,manuel,mensuel,fr,primaire,na,false,URL du programme à renseigner dès publication,
glucksmann-raphael-youtube,glucksmann-raphael,youtube,,manuel,hebdo,fr,primaire,na,false,Chaîne ou playlists d'interviews à renseigner ; transcription,
bertrand-xavier-site,bertrand-xavier,page_web,,auto,hebdo,fr,primaire,na,false,Site de campagne à renseigner,
lisnard-david-site,lisnard-david,page_web,,auto,hebdo,fr,primaire,na,false,Site de campagne à renseigner,
roussel-fabien-site,roussel-fabien,page_web,,auto,hebdo,fr,primaire,na,false,Site de campagne à renseigner,
tondelier-marine-site,tondelier-marine,page_web,,auto,hebdo,fr,primaire,na,false,Site de campagne à renseigner,
faure-olivier-site,faure-olivier,page_web,,auto,hebdo,fr,primaire,na,false,Site de campagne à renseigner,
guedj-jerome-site,guedj-jerome,page_web,,auto,hebdo,fr,primaire,na,false,Site de campagne à renseigner,
bouamrane-karim-site,bouamrane-karim,page_web,,auto,hebdo,fr,primaire,na,false,Site de campagne à renseigner,
royal-segolene-site,royal-segolene,page_web,,auto,hebdo,fr,primaire,na,false,Site de campagne à renseigner,
brun-philippe-site,brun-philippe,page_web,,auto,hebdo,fr,primaire,na,false,Site de campagne à renseigner,
ruffin-francois-site,ruffin-francois,page_web,,auto,hebdo,fr,primaire,na,false,Site de campagne à renseigner,
dupont-aignan-nicolas-programme,dupont-aignan-nicolas,pdf,,manuel,mensuel,fr,primaire,na,false,Programme publié uniquement ; veille mensuelle,
philippot-florian-programme,philippot-florian,pdf,,manuel,mensuel,fr,primaire,na,false,Programme publié uniquement ; veille mensuelle,
asselineau-francois-programme,asselineau-francois,pdf,,manuel,mensuel,fr,primaire,na,false,Programme publié uniquement ; veille mensuelle,
batho-delphine-programme,batho-delphine,pdf,,manuel,mensuel,fr,primaire,na,false,Programme publié uniquement ; veille mensuelle,
arthaud-nathalie-programme,arthaud-nathalie,pdf,,manuel,mensuel,fr,primaire,na,false,Programme publié uniquement ; veille mensuelle,
kazib-anasse-programme,kazib-anasse,pdf,,manuel,mensuel,fr,primaire,na,false,Programme publié uniquement ; veille mensuelle,
labib-selma-programme,labib-selma,pdf,,manuel,mensuel,fr,primaire,na,false,Programme publié uniquement ; veille mensuelle,
branco-juan-programme,branco-juan,pdf,,manuel,mensuel,fr,primaire,na,false,Programme publié uniquement ; veille mensuelle,
egger-clara-programme,egger-clara,pdf,,manuel,mensuel,fr,primaire,na,false,Programme publié uniquement ; veille mensuelle,
massard-lydie-programme,massard-lydie,pdf,,manuel,mensuel,fr,primaire,na,false,Programme publié uniquement ; veille mensuelle,
ifrap-comparateur,fondation-ifrap,page_web,https://www.ifrap.org/comparateurs/presidentielles-2027,auto,hebdo,fr,secondaire,na,false,Surveillance des changements du comparateur ; à activer après vérification robots.txt,
gouvernement-budget,gouvernement,page_web,https://www.budget.gouv.fr/,auto,hebdo,fr,primaire,na,false,Communiqués et dossiers de presse du budget ; URL précise à renseigner,
